0,Description,Typical Array,Mean,Std,5%,95%
107,"107.Sum of 4d4+2, Best 6 of 7 Rolls, Best of 3 Arrays",10.82; 11.81; 12.68; 13.56; 14.55; 15.87,25.91,6.97,16,38
108,"108.Sum of 4d4+2, Best 6 of 7 Rolls, Best of 6 Arrays",11.07; 12.11; 13.03; 13.95; 14.96; 16.27,29.81,6.39,20,41
109,"109.Sum of 4d4+2, Reroll 1s, Best 6 of 7 Rolls",12.75; 13.41; 14.0; 14.59; 15.25; 16.17,36.84,8.56,24,52
110,"110.Sum of 4d4+2, Reroll 1s, Best 6 of 7 Rolls, Best of 3 Arrays",13.16; 13.9; 14.53; 15.16; 15.85; 16.75,44.2,7.02,34,57
111,"111.Sum of 4d4+2, Reroll 1s, Best 6 of 7 Rolls, Best of 6 Arrays",13.38; 14.15; 14.81; 15.45; 16.14; 17.01,48.15,6.28,39,59
112,"112.Sum of 4d4+2, Reroll 1s/2s, Best 6 of 7 Rolls",15.24; 15.65; 16.0; 16.35; 16.76; 17.29,64.39,7.39,52,77
113,"113.Sum of 4d4+2, Reroll 1s/2s, Best 6 of 7 Rolls, Best of 3 Arrays",15.54; 15.97; 16.33; 16.72; 17.1; 17.62,70.66,5.68,63,80
114,"114.Sum of 4d4+2, Reroll 1s/2s, Best 6 of 7 Rolls, Best of 6 Arrays",15.69; 16.11; 16.51; 16.9; 17.26; 17.77,73.84,4.93,66,83
115,"115.Sum of 4d4+2, Best 6 of 9 Rolls",11.37; 12.0; 12.63; 13.31; 14.12; 15.28,23.77,8.31,11,39
116,"116.Sum of 4d4+2, Reroll 1s, Best 6 of 9 Rolls",13.54; 14.0; 14.46; 14.95; 15.54; 16.37,42.25,8.71,28,57
117,"117.Sum of 4d4+2, Reroll 1s/2s, Best 6 of 9 Rolls",15.73; 16.0; 16.27; 16.58; 16.93; 17.41,69.31,7.07,57,81
118,"118.Sum of 4d4+2, Best 6 of 12 Rolls",12.24; 12.72; 13.23; 13.81; 14.52; 15.57,28.81,8.62,16,44
119,"119.Sum of 4d4+2, Reroll 1s, Best 6 of 12 Rolls",14.17; 14.52; 14.9; 15.32; 15.83; 16.58,47.9,8.65,34,63
120,"120.Sum of 4d4+2, Reroll 1s/2s, Best 6 of 12 Rolls",16.09; 16.3; 16.55; 16.81; 17.1; 17.53,73.87,6.74,63,86
121,"121.Sum the Best 4 of 5d4+2, 6 Rolls",10.16; 11.52; 12.49; 13.37; 14.3; 15.54,23.18,8.87,10,39
122,"122.Sum the Best 4 of 5d4+2, 6 Rolls, Best of 3 Arrays",10.74; 12.17; 13.19; 14.12; 15.1; 16.34,30.83,7.47,20,44
123,"123.Sum the Best 4 of 5d4+2, 6 Rolls, Best of 6 Arrays",11.02; 12.49; 13.55; 14.5; 15.5; 16.7,35.01,6.76,25,47
124,"124.Sum the Best 4 of 5d4+2, Reroll 1s, 6 Rolls",12.63; 13.64; 14.35; 14.99; 15.68; 16.57,41.35,9.02,27,57
125,"125.Sum the Best 4 of 5d4+2, Reroll 1s, 6 Rolls, Best of 3 Arrays",13.09; 14.16; 14.9; 15.57; 16.26; 17.1,49.09,7.27,38,62
126,"126.Sum the Best 4 of 5d4+2, Reroll 1s, 6 Rolls, Best of 6 Arrays",13.33; 14.42; 15.18; 15.85; 16.53; 17.33,53.17,6.45,43,64
127,"127.Sum the Best 4 of 5d4+2, Reroll 1s/2s, 6 Rolls",15.13; 15.76; 16.21; 16.61; 17.02; 17.53,67.7,7.65,55,80
128,"128.Sum the Best 4 of 5d4+2, Reroll 1s/2s, 6 Rolls, Best of 3 Arrays",15.46; 16.11; 16.58; 16.97; 17.35; 17.81,74.19,5.81,65,84
129,"129.Sum the Best 4 of 5d4+2, Reroll 1s/2s, 6 Rolls, Best of 6 Arrays",15.64; 16.29; 16.77; 17.11; 17.53; 17.92,77.45,5.01,70,87
130,"130.Sum the Best 4 of 5d4+2, Best 6 of 7 Rolls",11.27; 12.16; 12.94; 13.7; 14.55; 15.71,27.12,8.99,14,43
131,"131.Sum the Best 4 of 5d4+2, Best 6 of 7 Rolls, Best of 3 Arrays",11.8; 12.76; 13.6; 14.42; 15.31; 16.47,34.89,7.58,24,48
132,"132.Sum the Best 4 of 5d4+2, Best 6 of 7 Rolls, Best of 6 Arrays",12.06; 13.07; 13.94; 14.78; 15.69; 16.81,39.12,6.85,29,51
133,"133.Sum the Best 4 of 5d4+2, Reroll 1s, Best 6 of 7 Rolls",13.46; 14.11; 14.68; 15.23; 15.86; 16.69,45.58,9.16,31,61
134,"134.Sum the Best 4 of 5d4+2, Reroll 1s, Best 6 of 7 Rolls, Best of 3 Arrays",13.89; 14.59; 15.2; 15.78; 16.41; 17.2,53.42,7.3,42,66
135,"135.Sum the Best 4 of 5d4+2, Reroll 1s, Best 6 of 7 Rolls, Best of 6 Arrays",14.11; 14.84; 15.47; 16.05; 16.67; 17.41,57.5,6.43,48,69
136,"136.Sum the Best 4 of 5d4+2, Reroll 1s/2s, Best 6 of 7 Rolls",15.64; 16.05; 16.41; 16.76; 17.13; 17.59,71.65,7.47,60,84
137,"137.Sum the Best 4 of 5d4+2, Reroll 1s/2s, Best 6 of 7 Rolls, Best of 3 Arrays",15.94; 16.38; 16.77; 17.08; 17.46; 17.87,77.97,5.6,69,87
138,"138.Sum the Best 4 of 5d4+2, Reroll 1s/2s, Best 6 of 7 Rolls, Best of 6 Arrays",16.09; 16.57; 16.93; 17.22; 17.66; 17.95,81.1,4.8,73,90
139,"139.Sum the Best 4 of 5d4+2, Best 6 of 9 Rolls",12.34; 12.94; 13.53; 14.17; 14.91; 15.96,32.58,9.28,18,49
140,"140.Sum the Best 4 of 5d4+2, Reroll 1s, Best 6 of 9 Rolls",14.24; 14.68; 15.11; 15.58; 16.12; 16.87,51.54,9.11,37,67
141,"141.Sum the Best 4 of 5d4+2, Reroll 1s/2s, Best 6 of 9 Rolls",16.13; 16.41; 16.7; 16.97; 17.28; 17.7,76.66,7.05,66,88
142,"142.Sum the Best 4 of 5d4+2, Best 6 of 12 Rolls",13.16; 13.62; 14.1; 14.63; 15.28; 16.23,38.44,9.51,24,55
143,"143.Sum the Best 4 of 5d4+2, Reroll 1s, Best 6 of 12 Rolls",14.84; 15.17; 15.53; 15.92; 16.39; 17.06,57.56,8.97,43,73
144,"144.Sum the Best 4 of 5d4+2, Reroll 1s/2s, Best 6 of 12 Rolls",16.52; 16.75; 16.94; 17.15; 17.45; 17.8,81.34,6.63,69,91
145,"145.Sum of 3d4+6, 6 Rolls",11.07; 12.23; 13.1; 13.9; 14.77; 15.93,28.78,9.02,15,45
